Student_ID,Gender,Age,Branch,CGPA,Tenth_Percentage,Twelfth_Percentage,Python,Java,SQL,Excel,PowerBI,Tableau,Machine_Learning,Communication_Skill,Aptitude_Score,Projects,Internship,Certifications,LeetCode_Problems,Hackathons,Resume_Score,Placement_Readiness,Expected_Salary_LPA,Placement
1037,Female,21,BSc CS,8.68,70.5,82.4,No,Yes,Yes,No,Yes,No,Yes,6,4,5,Yes,2,23,0,100,72,8.0,Yes
1038,Female,20,BSc CS,9.23,78.7,93.2,No,No,No,No,No,Yes,Yes,6,10,3,Yes,6,33,3,100,90,9.5,Yes
1039,Male,24,BSc CS,8.21,62.0,65.7,No,Yes,Yes,Yes,No,Yes,No,7,7,2,No,2,291,4,91,75,8.2,Yes
1040,Female,22,BSc CS,5.93,89.0,83.8,No,Yes,Yes,Yes,Yes,Yes,Yes,4,7,3,No,2,16,1,71,63,7.2,Yes
1041,Female,23,BCA Data Science,9.2,62.7,68.9,No,Yes,No,Yes,Yes,Yes,No,10,5,0,Yes,1,157,4,100,75,8.2,Yes
1042,Male,22,BSc CS,7.52,71.6,75.3,No,No,No,Yes,Yes,No,No,8,6,0,Yes,1,294,4,88,70,7.8,Yes
1043,Female,23,BSc CS,5.67,88.7,77.9,No,No,Yes,No,No,Yes,No,6,7,2,No,5,53,1,75,66,7.5,Yes
1044,Female,20,BCA Data Science,7.63,85.2,75.2,Yes,No,Yes,No,No,No,Yes,10,7,6,Yes,5,277,3,100,81,8.8,Yes
1045,Male,22,BSc CS,7.73,83.7,78.9,No,Yes,Yes,No,Yes,No,No,9,7,0,Yes,5,122,5,99,80,8.7,Yes
1046,Male,23,BCA Data Science,5.56,75.5,68.5,Yes,No,Yes,Yes,No,No,No,7,10,3,No,1,233,4,72,73,8.1,Yes
1047,Female,22,BCA,9.46,79.3,93.4,Yes,No,No,No,No,Yes,No,9,6,6,No,6,76,3,100,78,8.5,Yes
1048,Male,21,BSc CS,7.87,80.7,77.3,No,Yes,Yes,No,Yes,No,Yes,6,9,3,No,3,77,3,92,82,8.8,Yes
1049,Male,22,BSc CS,9.65,72.6,63.8,No,Yes,No,Yes,Yes,No,Yes,4,7,6,No,2,203,5,100,81,8.8,Yes
1050,Female,20,BCA Data Science,9.2,74.4,72.0,No,Yes,Yes,Yes,No,Yes,Yes,7,4,6,Yes,3,85,5,100,72,8.0,Yes
1051,Male,21,BCA,6.89,62.1,73.6,No,Yes,Yes,No,Yes,Yes,Yes,4,8,6,No,4,123,3,95,81,8.8,Yes
1052,Female,23,BCA Data Science,8.24,77.5,85.3,No,No,Yes,Yes,No,No,No,9,7,5,No,3,154,1,100,81,8.8,Yes
1053,Male,24,BCA,6.52,81.7,81.8,No,Yes,No,No,Yes,Yes,No,10,6,6,Yes,4,180,1,100,78,8.5,Yes
1054,Male,21,BSc CS,8.41,87.4,85.0,Yes,Yes,Yes,No,No,Yes,No,9,5,0,No,2,212,1,89,68,7.7,Yes
1055,Female,20,BCA,9.27,73.9,79.1,No,Yes,No,No,No,No,Yes,7,4,1,Yes,6,203,4,100,72,8.0,Yes
1056,Female,22,BSc CS,5.56,80.4,77.3,No,No,No,Yes,Yes,No,Yes,8,8,2,Yes,5,32,5,88,76,8.3,Yes
1057,Male,23,BSc CS,7.26,65.3,96.0,No,No,Yes,Yes,Yes,Yes,No,7,6,5,No,4,79,3,100,78,8.5,Yes
1058,Male,20,BCA,7.25,96.2,61.2,No,Yes,No,No,Yes,No,Yes,9,6,4,No,0,203,2,92,73,8.1,Yes
1059,Female,21,BSc CS,5.89,68.1,84.3,Yes,Yes,No,Yes,Yes,Yes,Yes,10,10,4,Yes,4,110,1,100,90,9.5,Yes
1060,Male,22,BCA Data Science,5.51,92.6,65.5,Yes,No,Yes,Yes,Yes,Yes,Yes,6,10,6,Yes,4,165,0,98,88,9.3,Yes
1061,Female,23,BCA,6.05,76.0,64.3,Yes,No,No,No,Yes,No,Yes,8,4,5,No,3,15,0,90,66,7.5,Yes
1062,Female,24,BSc CS,8.45,78.6,94.6,Yes,Yes,No,Yes,Yes,Yes,No,8,9,4,No,3,271,2,100,87,9.2,Yes
1063,Female,22,BCA Data Science,7.35,90.1,64.3,Yes,No,No,Yes,No,No,No,7,7,5,Yes,2,218,2,100,81,8.8,Yes
1064,Female,23,BSc CS,8.45,78.0,63.5,Yes,Yes,No,Yes,No,Yes,Yes,8,8,4,No,5,62,3,100,84,9.0,Yes
1065,Male,23,BSc CS,5.72,70.9,71.9,Yes,Yes,Yes,No,Yes,Yes,No,10,8,2,Yes,6,142,4,95,81,8.8,Yes
1066,Male,20,BCA Data Science,9.69,91.1,83.3,Yes,No,Yes,Yes,No,No,No,6,4,1,Yes,4,205,0,100,72,8.0,Yes
1067,Female,23,BCA,8.71,68.2,76.0,No,Yes,No,No,No,Yes,Yes,5,5,6,Yes,5,41,2,100,75,8.2,Yes
1068,Male,21,BCA,8.11,75.7,68.2,Yes,No,No,Yes,No,No,No,4,5,3,Yes,0,104,2,94,71,7.9,Yes
1069,Male,22,BSc CS,6.74,64.6,78.9,No,Yes,Yes,No,Yes,No,Yes,7,10,5,Yes,3,9,3,100,90,9.5,Yes
1070,Female,24,BCA,7.35,75.4,84.3,No,Yes,No,Yes,No,Yes,No,10,9,2,Yes,3,54,1,100,87,9.2,Yes
1071,Female,21,BCA Data Science,7.75,75.0,71.8,No,Yes,No,Yes,Yes,Yes,Yes,10,6,2,Yes,1,52,1,100,78,8.5,Yes
1072,Male,22,BSc CS,8.09,88.9,84.9,Yes,No,No,No,No,No,Yes,7,4,3,No,5,155,2,100,72,8.0,Yes
1073,Male,20,BCA,5.82,77.5,61.4,No,No,Yes,Yes,No,No,Yes,7,10,4,Yes,2,243,4,90,84,9.0,Yes
1074,Male,22,BCA Data Science,5.95,94.2,73.1,Yes,Yes,Yes,Yes,No,No,Yes,6,6,2,No,3,173,5,73,61,7.1,Yes
1075,Female,22,BCA Data Science,6.92,81.2,74.7,No,Yes,No,Yes,Yes,No,No,9,9,5,No,1,43,2,95,84,9.0,Yes
1076,Male,20,BCA,8.38,91.5,88.1,Yes,No,No,Yes,No,No,Yes,5,6,6,No,1,115,1,100,78,8.5,Yes
1077,Female,22,BSc CS,9.13,63.8,89.3,Yes,No,Yes,No,Yes,Yes,Yes,10,9,6,Yes,5,224,0,100,87,9.2,Yes
1078,Female,21,BCA Data Science,8.59,96.8,83.2,No,Yes,Yes,No,No,Yes,No,9,8,3,No,6,144,3,100,84,9.0,Yes
1079,Male,23,BCA,8.95,65.3,69.5,No,No,Yes,Yes,No,Yes,Yes,6,7,4,Yes,6,223,0,100,81,8.8,Yes
1080,Male,22,BCA,9.5,75.8,75.1,No,Yes,No,Yes,No,Yes,Yes,6,4,6,No,6,74,1,100,72,8.0,Yes
1081,Female,20,BCA Data Science,8.49,65.3,86.8,No,Yes,Yes,Yes,No,Yes,Yes,8,9,4,No,0,147,1,99,86,9.2,Yes
1082,Male,20,BSc CS,6.53,84.3,83.7,Yes,Yes,No,Yes,Yes,Yes,No,7,4,4,No,1,292,3,84,62,7.2,Yes
1083,Male,24,BSc CS,9.69,62.6,80.0,Yes,No,No,Yes,No,No,No,9,4,2,Yes,2,123,5,100,72,8.0,Yes
1084,Male,20,BCA,8.75,65.1,73.4,No,Yes,No,No,Yes,Yes,Yes,9,10,3,Yes,2,103,0,100,90,9.5,Yes
1085,Female,23,BCA,9.51,79.6,97.6,No,No,Yes,Yes,No,No,Yes,10,9,2,No,0,188,3,100,87,9.2,Yes
1086,Female,22,BCA,6.96,67.1,86.3,No,No,Yes,No,Yes,No,Yes,8,6,2,Yes,0,167,5,89,71,7.9,Yes
1087,Male,20,BCA Data Science,8.09,76.2,86.2,No,No,Yes,No,No,No,Yes,4,9,5,No,2,262,5,96,84,9.0,Yes
1088,Male,24,BCA Data Science,9.15,85.8,76.7,Yes,Yes,Yes,No,No,No,Yes,8,5,5,No,2,190,3,100,75,8.2,Yes
1089,Female,21,BCA Data Science,7.78,75.1,84.7,Yes,Yes,Yes,Yes,No,No,Yes,6,10,2,No,1,146,5,84,80,8.7,Yes
1090,Male,20,BCA Data Science,6.08,62.8,66.6,No,Yes,No,No,Yes,No,No,10,5,5,Yes,6,185,4,100,75,8.2,Yes
1091,Male,21,BCA,8.91,69.0,78.8,No,No,No,Yes,Yes,Yes,No,7,9,5,No,4,210,3,100,87,9.2,Yes
1092,Male,22,BSc CS,8.26,77.1,85.8,No,Yes,Yes,Yes,No,Yes,Yes,8,5,2,Yes,1,165,5,100,75,8.2,Yes
1093,Male,20,BCA Data Science,9.35,92.1,69.5,No,Yes,No,Yes,Yes,Yes,Yes,9,8,5,No,6,288,0,100,84,9.0,Yes
1094,Male,21,BCA,9.58,89.3,70.1,Yes,No,Yes,No,No,No,No,5,10,6,No,2,232,0,100,90,9.5,Yes
1095,Female,23,BCA Data Science,7.29,77.6,72.9,Yes,No,No,No,No,Yes,No,8,8,0,No,1,238,0,76,69,7.8,Yes
1096,Male,23,BSc CS,6.11,61.9,95.9,No,Yes,Yes,No,No,Yes,Yes,7,8,3,No,2,254,0,78,70,7.8,Yes
1097,Female,20,BCA,7.47,69.1,82.2,Yes,Yes,No,No,No,No,Yes,10,4,3,Yes,2,187,3,100,72,8.0,Yes
1098,Male,24,BSc CS,5.72,81.3,73.8,No,Yes,No,No,No,Yes,Yes,4,7,2,No,4,187,1,69,62,7.2,No
1099,Female,24,BCA,7.23,61.5,61.5,No,No,No,Yes,Yes,No,No,5,7,4,No,4,172,4,91,75,8.2,Yes
1100,Female,21,BSc CS,7.54,60.6,72.6,Yes,No,No,Yes,No,No,Yes,9,4,4,No,1,268,5,96,69,7.8,Yes
1101,Male,24,BCA Data Science,6.54,81.8,86.6,Yes,Yes,No,No,No,Yes,No,9,5,3,No,6,31,5,94,71,7.9,Yes
1102,Male,22,BCA,7.91,97.9,78.2,No,No,Yes,No,No,No,No,8,7,1,Yes,2,285,2,97,79,8.6,Yes
1103,Male,22,BCA,8.53,86.2,78.6,No,No,No,No,Yes,No,No,10,6,6,Yes,2,21,2,100,78,8.5,Yes
1104,Female,23,BCA Data Science,8.32,88.4,68.1,No,No,Yes,Yes,Yes,Yes,Yes,9,8,1,Yes,0,51,3,98,82,8.8,Yes
1105,Male,21,BCA,8.43,65.2,96.7,Yes,No,No,No,Yes,No,No,6,9,0,Yes,5,293,1,99,86,9.2,Yes
1106,Female,21,BSc CS,9.29,66.7,94.9,No,No,Yes,No,Yes,Yes,No,8,8,0,No,2,232,5,94,80,8.7,Yes
1107,Female,20,BCA,7.51,67.3,64.3,Yes,No,No,Yes,Yes,No,No,8,9,6,Yes,1,207,3,100,87,9.2,Yes
1108,Female,22,BSc CS,8.38,67.0,65.3,No,Yes,Yes,No,No,Yes,No,10,6,2,No,4,293,0,100,78,8.5,Yes
1109,Female,24,BSc CS,6.52,85.4,77.7,Yes,No,No,Yes,No,No,Yes,5,5,3,Yes,3,191,3,90,69,7.8,Yes
1110,Male,21,BSc CS,9.05,89.0,85.9,Yes,No,No,Yes,Yes,Yes,Yes,8,8,1,Yes,2,266,3,100,84,9.0,Yes
1111,Male,24,BCA Data Science,8.01,63.5,79.4,Yes,No,Yes,No,No,Yes,No,9,10,2,Yes,3,130,0,100,90,9.5,Yes
1112,Female,23,BCA Data Science,5.69,73.1,62.4,Yes,Yes,No,Yes,No,No,Yes,10,5,6,No,2,195,3,93,70,7.8,Yes
1113,Female,21,BCA Data Science,8.44,85.1,80.5,No,Yes,Yes,No,Yes,Yes,Yes,10,4,2,No,5,278,3,100,72,8.0,Yes
1114,Male,23,BCA,7.48,65.9,67.2,Yes,Yes,No,Yes,Yes,Yes,Yes,4,8,0,No,4,24,1,75,69,7.8,Yes
1115,Male,24,BSc CS,6.51,68.3,92.8,Yes,Yes,No,Yes,No,No,Yes,6,5,5,Yes,3,153,2,100,75,8.2,Yes
1116,Male,21,BCA,9.28,94.6,83.8,No,No,Yes,No,No,No,No,7,5,2,No,1,275,3,98,73,8.1,Yes
1117,Male,20,BCA,9.19,65.5,77.6,Yes,No,No,Yes,No,Yes,No,5,6,5,Yes,3,189,0,100,78,8.5,Yes
1118,Male,23,BCA Data Science,7.12,83.0,61.5,Yes,Yes,Yes,No,Yes,No,No,4,5,1,Yes,5,245,1,88,67,7.6,Yes
1119,Female,20,BSc CS,7.87,89.5,74.5,No,No,No,No,No,No,Yes,10,9,3,No,1,189,2,96,84,9.0,Yes
1120,Female,23,BCA,9.22,88.2,60.6,No,No,Yes,Yes,No,Yes,No,8,10,1,No,4,172,2,100,90,9.5,Yes
1121,Male,24,BCA,6.22,90.2,66.4,No,Yes,Yes,Yes,Yes,Yes,Yes,7,5,6,Yes,0,77,0,97,73,8.1,Yes
1122,Female,21,BCA Data Science,7.1,83.5,85.3,No,No,Yes,Yes,No,Yes,Yes,8,9,2,No,0,257,5,80,75,8.2,Yes
1123,Male,20,BCA,9.45,79.9,69.2,No,No,No,No,Yes,No,No,7,8,1,Yes,2,41,5,100,84,9.0,Yes
1124,Female,20,BCA Data Science,7.13,81.0,62.1,Yes,Yes,Yes,No,No,No,Yes,8,4,1,Yes,6,290,3,99,71,7.9,Yes
1125,Female,23,BSc CS,8.44,70.7,80.6,Yes,Yes,No,Yes,Yes,Yes,No,4,6,1,Yes,4,199,5,97,76,8.3,Yes
1126,Female,23,BCA,6.1,97.6,87.5,No,Yes,Yes,No,Yes,Yes,No,8,10,4,No,6,167,0,92,85,9.1,Yes
1127,Female,20,BCA Data Science,6.48,81.0,74.3,Yes,No,Yes,No,Yes,Yes,Yes,6,5,3,Yes,5,199,2,95,72,8.0,Yes
1128,Female,24,BCA Data Science,5.52,71.7,73.7,No,Yes,Yes,Yes,Yes,No,No,8,8,4,No,0,13,0,76,69,7.8,Yes
1129,Female,21,BCA Data Science,8.07,89.8,92.8,Yes,No,No,No,Yes,Yes,Yes,9,7,1,Yes,2,154,2,100,81,8.8,Yes
1130,Female,22,BCA,6.22,70.5,71.4,Yes,No,No,Yes,No,Yes,No,4,5,2,Yes,3,170,4,81,63,7.2,Yes
1131,Female,22,BCA,6.94,91.0,92.7,Yes,No,No,Yes,No,No,Yes,7,6,2,No,4,124,2,85,69,7.8,Yes
1132,Female,21,BCA,7.07,95.4,67.6,Yes,Yes,No,Yes,No,No,Yes,10,10,6,No,5,255,1,100,90,9.5,Yes
1133,Female,21,BSc CS,8.33,87.2,90.0,Yes,No,No,No,No,Yes,No,9,10,4,Yes,0,127,5,100,90,9.5,Yes
1134,Female,24,BSc CS,8.13,81.4,84.5,No,No,No,Yes,Yes,Yes,No,5,8,5,Yes,3,191,3,100,84,9.0,Yes
1135,Female,20,BCA,7.65,73.1,60.9,Yes,No,No,Yes,Yes,Yes,No,6,6,3,Yes,4,247,2,100,78,8.5,Yes
1136,Female,21,BCA,8.6,77.2,62.6,Yes,Yes,Yes,No,Yes,Yes,Yes,8,5,4,Yes,2,286,3,100,75,8.2,Yes
1137,Male,24,BCA Data Science,8.21,67.1,85.0,No,Yes,Yes,No,No,No,Yes,9,5,1,No,6,32,4,99,74,8.2,Yes
1138,Male,21,BCA,7.07,67.5,64.3,No,No,No,No,Yes,No,No,10,7,4,Yes,6,152,4,100,81,8.8,Yes
1139,Female,21,BCA Data Science,6.01,71.6,67.0,Yes,No,No,Yes,No,No,Yes,7,9,4,Yes,4,85,3,96,84,9.0,Yes
1140,Male,20,BSc CS,6.85,77.1,62.0,No,Yes,No,Yes,Yes,No,No,7,9,3,No,5,227,3,90,81,8.8,Yes
1141,Female,24,BCA Data Science,5.63,88.9,71.1,No,Yes,No,Yes,No,No,Yes,8,4,2,No,4,21,5,77,58,6.8,No
1142,Female,21,BSc CS,9.76,63.9,91.5,Yes,No,Yes,No,No,No,Yes,7,10,0,Yes,1,179,5,100,90,9.5,Yes
1143,Female,21,BSc CS,6.1,67.9,67.9,Yes,No,No,Yes,No,No,No,8,6,6,Yes,1,210,0,100,78,8.5,Yes
1144,Female,22,BCA,9.22,69.5,87.0,Yes,No,No,Yes,No,No,No,7,4,5,Yes,3,263,5,100,72,8.0,Yes
1145,Male,24,BCA,9.59,72.4,60.1,Yes,No,No,Yes,No,Yes,No,10,5,3,No,2,145,2,100,75,8.2,Yes
1146,Female,21,BCA,8.89,94.0,89.0,Yes,Yes,No,Yes,Yes,Yes,No,7,4,3,Yes,5,67,5,100,72,8.0,Yes
1147,Male,24,BSc CS,5.9,73.7,63.1,Yes,Yes,No,No,Yes,No,Yes,9,4,0,Yes,3,39,1,81,60,7.0,Yes
1148,Female,21,BCA,7.41,60.3,73.1,Yes,No,Yes,No,Yes,Yes,No,4,9,6,Yes,0,160,2,100,87,9.2,Yes
1149,Male,20,BCA Data Science,8.83,88.6,65.1,Yes,Yes,Yes,Yes,No,No,Yes,9,9,1,No,4,226,1,100,87,9.2,Yes
1150,Female,21,BSc CS,8.74,82.4,74.6,No,No,Yes,Yes,No,Yes,Yes,8,8,4,No,6,13,5,100,84,9.0,Yes
1151,Female,24,BCA,8.11,67.2,74.9,Yes,Yes,No,No,Yes,Yes,No,9,8,0,Yes,2,162,1,96,81,8.8,Yes
1152,Female,23,BCA Data Science,7.07,86.0,89.0,Yes,Yes,Yes,Yes,No,Yes,Yes,4,10,3,No,5,256,3,86,81,8.8,Yes
1153,Male,20,BCA Data Science,8.25,80.4,65.8,Yes,No,Yes,Yes,Yes,No,No,8,9,6,Yes,2,223,5,100,87,9.2,Yes
1154,Female,20,BCA Data Science,5.87,76.5,77.2,Yes,No,Yes,Yes,Yes,Yes,Yes,5,7,2,No,1,190,1,66,60,7.0,Yes
1155,Male,21,BSc CS,6.94,76.3,79.9,No,Yes,No,No,No,Yes,No,10,8,1,No,1,130,0,81,72,8.0,Yes
1156,Female,22,BCA,7.69,61.7,92.8,Yes,Yes,No,No,No,Yes,Yes,10,4,4,No,1,164,1,99,71,7.9,Yes
1157,Female,20,BCA,9.05,81.7,64.5,Yes,Yes,Yes,Yes,No,Yes,No,10,6,6,No,2,44,4,100,78,8.5,Yes
1158,Male,22,BCA Data Science,6.36,81.4,71.5,Yes,No,No,No,Yes,Yes,Yes,4,7,0,Yes,4,177,5,76,66,7.5,Yes
1159,Female,22,BCA,8.76,74.3,88.0,No,Yes,Yes,Yes,No,No,Yes,5,9,2,Yes,0,118,4,98,85,9.1,Yes
1160,Female,22,BCA,9.69,63.2,63.6,Yes,No,Yes,Yes,No,Yes,Yes,6,6,6,No,6,201,5,100,78,8.5,Yes
1161,Female,23,BCA,6.67,62.8,67.7,Yes,Yes,Yes,Yes,No,No,No,7,4,4,No,6,106,3,95,69,7.8,Yes
1162,Male,20,BCA,9.17,63.4,90.7,No,Yes,Yes,No,Yes,Yes,Yes,6,7,4,Yes,5,153,2,100,81,8.8,Yes
1163,Male,24,BSc CS,9.17,81.1,80.9,Yes,No,Yes,Yes,Yes,Yes,Yes,10,10,1,Yes,1,205,2,100,90,9.5,Yes
1164,Female,23,BCA Data Science,6.61,90.9,60.8,Yes,Yes,No,Yes,Yes,No,Yes,4,7,0,Yes,4,221,5,78,67,7.6,Yes
1165,Male,22,BCA,7.15,76.2,73.4,Yes,No,No,No,Yes,Yes,Yes,9,6,3,No,4,245,0,95,75,8.2,Yes
1166,Female,24,BCA Data Science,6.09,67.6,93.6,Yes,Yes,No,No,No,No,No,8,8,2,No,2,92,0,76,69,7.8,Yes
1167,Female,22,BCA Data Science,5.63,90.8,70.7,No,No,Yes,Yes,Yes,Yes,Yes,6,8,6,Yes,6,112,4,100,84,9.0,Yes
1168,Male,20,BSc CS,6.26,82.5,90.6,No,Yes,No,Yes,Yes,No,No,5,7,0,Yes,0,119,4,70,63,7.2,No
1169,Male,22,BSc CS,7.56,72.6,83.3,Yes,No,Yes,No,Yes,Yes,Yes,8,9,1,Yes,6,269,2,100,87,9.2,Yes
1170,Female,22,BCA Data Science,9.55,75.0,63.8,No,No,Yes,Yes,No,No,No,5,9,4,No,1,89,3,100,87,9.2,Yes
1171,Male,20,BSc CS,6.26,60.1,86.7,No,Yes,Yes,No,Yes,Yes,No,5,6,5,Yes,1,177,2,92,73,8.1,Yes
1172,Female,21,BCA,8.38,87.7,72.8,Yes,No,Yes,Yes,Yes,No,No,10,4,5,Yes,0,197,3,100,72,8.0,Yes
1173,Male,23,BCA Data Science,7.62,74.4,80.7,Yes,No,Yes,Yes,No,Yes,Yes,6,4,2,No,0,37,2,80,60,7.0,Yes
1174,Female,22,BCA,8.65,80.8,94.1,Yes,No,No,Yes,No,Yes,No,5,4,0,No,1,97,3,81,60,7.0,Yes
1175,Male,21,BSc CS,6.52,61.9,81.7,No,Yes,Yes,No,Yes,No,Yes,6,10,5,No,1,49,0,86,81,8.8,Yes
1176,Female,23,BCA,6.75,63.1,92.1,No,No,No,No,No,Yes,No,5,6,3,No,1,228,0,78,64,7.3,No
1177,Male,23,BCA,6.63,91.8,81.4,Yes,Yes,Yes,No,No,Yes,Yes,10,7,6,No,4,243,4,100,81,8.8,Yes
1178,Male,24,BCA,5.84,94.3,87.1,Yes,Yes,No,Yes,Yes,Yes,Yes,5,4,3,Yes,5,222,1,88,64,7.3,Yes
1179,Male,24,BSc CS,6.87,87.6,90.7,Yes,No,No,No,No,No,Yes,10,9,4,No,0,212,1,90,81,8.8,Yes
1180,Female,21,BSc CS,8.01,96.7,63.8,Yes,Yes,No,No,No,No,No,9,7,4,No,0,88,2,98,79,8.6,Yes
1181,Male,21,BCA Data Science,8.12,86.4,61.5,No,Yes,Yes,No,No,No,Yes,6,10,6,No,2,143,3,100,90,9.5,Yes
1182,Male,24,BCA Data Science,6.79,88.3,89.4,No,No,No,Yes,Yes,No,Yes,10,7,5,No,6,264,2,100,81,8.8,Yes
1183,Female,20,BSc CS,5.78,87.0,75.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,4,2,Yes,2,188,3,82,61,7.1,Yes
1184,Male,21,BSc CS,5.63,74.2,82.6,Yes,No,No,No,Yes,No,Yes,6,4,3,Yes,1,292,1,81,60,7.0,Yes
